archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
prowess,Izzet Prowess,modern-challenge-32-2026-06-2012844852#EvoPride,mtgo,2026-06-20,Modern Challenge 32,EvoPride,,data-anomaly,high,post,both,keep,exclude: 75-card mainboard,"Boards not separated: 75 mainboard and 0 sideboard, the only size anomaly among the 1369 members, with Consign to Memory, Meltdown, Spell Pierce, Tormod's Crypt, Eddymurk Crab and Mystical Dispute counted in the main over an ordinary Izzet Prowess 60.",
prowess,Izzet Prowess,,mtgo,2026-04-22,Modern League,DB_DackFayden7,,different-deck,high,pre,both,keep,exclude: Izzet Phoenix,"Pre-ban Izzet Phoenix: 4 Arclight Phoenix, 4 Faithless Looting, 4 Manamorphose, 4 Traumatic Critique and 2 Flashback with no Preordain, Slickshot Show-Off, Expressive Iteration or Mutagenic Growth; only the Cutter, Swiftspear and DRC overlap the prowess shell.",
prowess,Izzet Prowess,,mtgo,2026-04-22,Modern League,DB_Mengu,,different-deck,high,pre,both,keep,exclude: Izzet Phoenix,"Pre-ban Izzet Phoenix, the same 75 as 15010 card for card: 4 Arclight Phoenix, 4 Faithless Looting, 4 Manamorphose, 4 Traumatic Critique and none of the prowess cantrip and pump package.",
prowess,Izzet Prowess,,mtgo,2026-04-23,Modern Challenge 64,kaikas,,different-deck,high,pre,both,keep,exclude: Izzet Phoenix,"Pre-ban Izzet Phoenix: 4 Arclight Phoenix, 4 Faithless Looting, 4 Manamorphose, 4 Traumatic Critique and 2 Gut Shot with no Preordain, Slickshot Show-Off, Expressive Iteration or Mutagenic Growth.",
prowess,Izzet Prowess,,mtgo,2026-04-25,Modern Challenge 32,kaikas,,different-deck,high,pre,both,keep,exclude: Izzet Phoenix,"Pre-ban Izzet Phoenix that swaps Manamorphose for 4 Expressive Iteration but still runs 4 Arclight Phoenix, 4 Faithless Looting, 2 Flashback, 2 Gut Shot and Lightning Axe with Bedlam Reveler in the side and no Preordain, Slickshot Show-Off or Mutagenic Growth; I rate it high where the prior pass said medium because the Iteration is a Phoenix card too and every prowess-only card is absent.",
prowess,Izzet Prowess,,mtgo,2026-04-26,Modern League,Schiapponetor,,different-deck,high,pre,both,keep,exclude: Izzet Phoenix,"Pre-ban Izzet Phoenix: 4 Arclight Phoenix, 4 Faithless Looting, 4 Manamorphose, 3 Traumatic Critique, 2 Gut Shot and Lightning Axe with Bedlam Reveler in the side, and no Preordain, Slickshot Show-Off, Expressive Iteration or Mutagenic Growth.",
prowess,Izzet Prowess,,mtgo,2026-05-02,Modern League,Txuris,,different-deck,high,pre,both,keep,exclude: Izzet Phoenix,"Pre-ban Izzet Phoenix, the kaikas 6642 list card for card: 4 Arclight Phoenix, 4 Faithless Looting, 4 Manamorphose, 4 Traumatic Critique, 2 Gut Shot and no prowess cantrip or pump package.",
prowess,Izzet Prowess,modern-league-2026-05-2510628#squidify,mtgo,2026-05-25,Modern League,squidify,,different-deck,high,post,both,keep,exclude: Izzet Phoenix,"Post-ban Izzet Phoenix, the only Phoenix list since the bans: 4 Arclight Phoenix, 4 Faithless Looting, 4 Manamorphose and 2 Flashback beside Preordain, with no Slickshot Show-Off, Expressive Iteration, Mutagenic Growth or Violent Urge.",
prowess,Izzet Prowess,modern-league-2026-06-1510628#Duduk123,mtgo,2026-06-15,Modern League,Duduk123,,different-deck,high,post,both,keep,"exclude: Gruul, one Vents","Gruul prowess: 4 Abundant Harvest, 3 Scale Up, 3 Blossoming Defense, 3 Questing Druid on 3 Stomping Ground and Commercial District with no blue nonland card in the mainboard; its single Steam Vents (the only member on one Vents) exists for the sideboard Consign to Memory.",
prowess,Izzet Prowess,,mtgo,2026-05-06,Modern League,JulianJohn,,hybrid,medium,pre,both,keep,exclude: hybrid brew with Phoenix,"Pre-ban list bolting 4 Arclight Phoenix and 4 Faithless Looting onto the full prowess core (3 Slickshot Show-Off, 3 Preordain, 3 Expressive Iteration, 2 Mutagenic Growth, Violent Urge); the same pilot's five post-ban lists drop both cards for the standard 4 Slickshot, 4 Growth shell, so the pair was a Phoenix graft that would put Looting and Phoenix into the pre-ban build readings.",
prowess,Izzet Prowess,,mtgo,2026-05-14,Modern League,JulianJohn,,hybrid,medium,pre,both,keep,exclude: hybrid brew with Phoenix,"Pre-ban sibling of 15635 with the same 4 Arclight Phoenix and 4 Faithless Looting over the Slickshot, Preordain, Expressive Iteration and Mutagenic Growth shell, Murktide Regent and Blood Moon in the side; same hybrid reading.",
trudge,Trudge,modern-league-2026-07-2610847#AoFTW,mtgo,2026-07-26,Modern League,AoFTW,,data-anomaly,medium,post,prior,drop,"keep: clean 60, unpublished sideboard","Standard Trudge mainboard (Eldrazi Temple, Ugin's Labyrinth, Kozilek's Command, Fight Rigging) published with an empty sideboard, the only zero-card sideboard among 446 members, so it distorts sideboard readings.","Prior-only candidate, dropped: the 60-card mainboard is a textbook Trudge build (4 each of Labyrinth, Temple, Command, Emrakul, Fight Rigging, Mycospawn, Rumble, Disciple, Zenith) and the only defect is an unpublished sideboard, the sole zero-card sideboard among 446 members, which leaves every mainboard reading intact and moves sideboard adoption by at most one list in 446."
trudge,Trudge,,mtgo,2026-04-23,Modern Challenge 64,Taurum,,different-deck,high,pre,both,keep,exclude: Nantuko deck without the Eldrazi shell,"Pre-ban mono-green Nantuko deck (4 Springheart Nantuko, 4 Quirion Ranger, 4 Badgermole Cub, 4 The Great Henge, 4 Life's Legacy, 3 Summoner's Pact, Craterhoof, ten fetchlands) holding none of Ugin's Labyrinth, Eldrazi Temple, Kozilek's Command, Emrakul or Fight Rigging; Trudge and Fanatic are its mana dorks, not the Eldrazi ramp engine.",
trudge,Trudge,,mtgo,2026-05-02,Modern Challenge 64,Gormatron,,different-deck,high,pre,both,keep,exclude: Nantuko deck without the Eldrazi shell,"Pre-ban mono-green Nantuko deck (4 Springheart Nantuko, 4 Quirion Ranger, 4 Badgermole Cub, 4 The Great Henge, 4 Ouroboroid, 3 Life's Legacy, 3 Summoner's Pact, Craterhoof) with no Ugin's Labyrinth, Eldrazi Temple, Kozilek's Command, Emrakul or Fight Rigging.",
trudge,Trudge,,mtgo,2026-05-03,Modern League,wasatchwarrior,,different-deck,high,pre,both,keep,exclude: Nantuko deck without the Eldrazi shell,"Pre-ban mono-green Nantuko deck, the same 75 as Gormatron's 6833 (Springheart Nantuko, Quirion Ranger, Badgermole Cub, The Great Henge, Ouroboroid, Life's Legacy, Summoner's Pact) with no Eldrazi shell card at all.",
trudge,Trudge,,mtgo,2026-05-07,Modern League,Gormatron,,different-deck,high,pre,both,keep,exclude: Nantuko deck without the Eldrazi shell,"Pre-ban mono-green Nantuko deck (4 Quirion Ranger, 4 The Great Henge, 4 Ouroboroid, 4 Badgermole Cub, 3 Life's Legacy, 3 Summoner's Pact, 2 Springheart Nantuko, Craterhoof, Six) with no Ugin's Labyrinth, Eldrazi Temple, Kozilek's Command, Emrakul or Fight Rigging.",
trudge,Trudge,modern-league-2026-06-0910628#Dooter611,mtgo,2026-06-09,Modern League,Dooter611,,different-deck,high,post,both,keep,exclude: Nantuko deck without the Eldrazi shell,"Post-ban mono-green Nantuko landfall deck on 4 Leyline of Abundance, 4 Delighted Halfling, 4 Springheart Nantuko, 4 Quirion Ranger, 4 Badgermole Cub, 4 Summoner's Pact, two Nissas, Lotus Cobra and Craterhoof, with a single Slumbering Trudge and no Ugin's Labyrinth, Eldrazi Temple, Kozilek's Command, Emrakul or Fight Rigging.",
tron,Tron,,mtgo,2026-03-22,Modern League,JMAK2000,,different-deck,high,pre,both,keep,exclude: another Tron deck,"Pre-ban, the same Mono-Green Tron 75 as 11590 a day earlier (Stirrings, Sphere, Star, Scrying, Karn Liberated, Oblivion Stone, no Temple, no Labyrinth); the pilot has no other list in the store.",
tron,Tron,,mtgo,2026-03-23,Modern Last Chance,JMAK2000,,different-deck,high,pre,both,keep,exclude: another Tron deck,"Pre-ban Mono-Green Tron on 16 lands: Ancient Stirrings 4, Chromatic Sphere 4, Chromatic Star 4, Sylvan Scrying 3, Karn Liberated 2, Oblivion Stone 2 and Haywire Mite 2, with no Eldrazi Temple and no Ugin's Labyrinth.",
tron,Tron,,mtgo,2026-03-28,Modern Challenge 32,pablohotdog,,different-deck,medium,pre,both,keep,exclude: another Tron deck,"Pre-ban green Tron shell on Ancient Stirrings 4, Chromatic Sphere 4, Chromatic Star 4 and Forest 3 with no Eldrazi Temple, no Ugin's Labyrinth, no Thought-Knot Seer and no Mind Stone, keeping Devourer and Kozilek's Command as payoffs; the pilot's four other store lists are ordinary Eldrazi Tron, so this is a one-off green Tron, medium because it holds the tracked deck's payoffs.",
tron,Tron,,mtgo,2026-04-20,Modern League,pooopywet,,different-deck,high,pre,both,keep,exclude: another Tron deck,"Pre-ban blue Tron, the deck CONTEXT names as different: Force of Negation 4, Stock Up 4, Remand 4, Subtlety 4, Condescend 3, Spell Snare 3 and Island 4 with no Devourer of Destiny and no Ugin's Labyrinth; both passes agree.",
tron,Tron,,mtgo,2026-04-27,Modern League,cool_ultimatum,,different-deck,high,pre,both,keep,exclude: another Tron deck,"Pre-ban, the same blue Tron 75 as 14892 under a second pilot (Force of Negation 4, Stock Up 4, Remand 4, Subtlety 4, Condescend 3, Spell Snare 3, no Devourer, no Labyrinth); the pilot's February list 11804 is ordinary Eldrazi Tron, so this is the other deck, not a variation.",
tron,Tron,melee:de6a947c-0825-4c80-9ea3-b4bc002e6525,melee,2026-09-05,Spotlight Dallas,ClintonWillesen1,,different-deck,high,post,both,keep,exclude: another Tron deck,"Mono-Green Tron proper, as the pilot names it and unlike the other Dallas pilots who use that name for Eldrazi Tron: Ancient Stirrings 4, Chromatic Sphere 4, Chromatic Star 3, Sylvan Scrying 3, Wurmcoil Engine 2, Ulamog the Defiler 2, Walking Ballista and Oblivion Stone, with no Eldrazi Temple and no Kozilek's Command.",
tron,Tron,melee:9202ad87-f076-4628-aa0e-b4bc00e0b2d3,melee,2026-09-05,Spotlight Dallas,simmmins,,different-deck,high,post,both,keep,exclude: another Tron deck,"Mono-Green Tron on Ancient Stirrings 4, Chromatic Sphere 4, Chromatic Star 4, Sylvan Scrying 3, Oblivion Stone 2 and Karn Liberated with neither Eldrazi Temple nor Ugin's Labyrinth; Devourer 4 and Command 2 are the payoffs green Tron now borrows, not the Eldrazi Tron shell.",
tron,Tron,,mtgo,2026-02-06,Modern League,MiraiMTG,,hybrid,medium,pre,both,keep,"exclude: hybrid brew, out for now","Pre-ban; both passes called it different-deck but the Devourer 3, Labyrinth 4, Kozilek's Command 4 and Karn 4 engine is intact, so I rule it a hybrid: the blue Tron control package (Condescend 4, Stock Up 3, Spell Snare 2, Consult the Star Charts, Snow-Covered Island 4, Talisman of Dominance 4) replaces Temple, Thought-Knot Seer, Mind Stone and Fleshraker, and Stock Up is the card CONTEXT names.",
tron,Tron,,mtgo,2026-03-21,Modern Challenge 32,narca,,hybrid,low,pre,both,drop,"exclude: hybrid brew, out for now","Pre-ban Eldrazi Tron shell carrying the Devoted Druid x4 and Luxior x2 combo with Formidable Speaker x3, Herigast x2 and Stomping Ground, a one-off brew.","Dropped: pre-ban, the Eldrazi Tron engine is fully intact (Devourer 4, Labyrinth 4, Command 4, Karn 4, Ugin 4, Map 4, Mycospawn 4) and the Devoted Druid 4, Luxior 2, Formidable Speaker 3 and Herigast 2 package sits in the flex slots the way narca's Zimone's Experiment, Blazing Firesinger, Bilbo's Gambit and Dress Down brews do in his other 12 lists, which both passes left in."
tron,Tron,melee:8d2790b6-c112-43a6-a7cc-b4b30043ad6c,melee,2026-08-29,Spotlight Brisbane,AlimTheBackpack,,hybrid,medium,post,both,keep,"exclude: hybrid brew, out for now","Mono-Green Eldrazi ramp, the neighbour HEURISTICS names as a different shell, on the Tron lands: Malevolent Rumble 4, Yggdrasil 3, World Breaker 2, Ulamog the Defiler 2, Void Winnower and Force of Vigor with Devourer cut to 2 and Kozilek's Command to 1; the pilot names it Mono-Green, so I side with the prior pass's medium over the new pass's low.",
tron,Tron,modern-league-2026-09-0710983#schnda,mtgo,2026-09-07,Modern League,schnda,,hybrid,medium,post,both,keep,"exclude: hybrid brew, out for now","Post-ban Eldrazi Tron shell (Temple 4, Command 4, Ugin 4, Boulder 4, Mycospawn 4) that drops Devourer of Destiny and Ugin's Labyrinth, both at 100% adoption post-ban, for a green Tron dig package of Malevolent Rumble 4, Chromatic Star 3 and Sylvan Scrying 2; both passes agree.",
energy,Boros Energy,,mtgo,2026-03-21,Modern League,Cantergiani,,hybrid,high,pre,both,keep,"exclude: hybrid brew, out for now","Pre-ban Boros Eldrazi hybrid: 4 Eldrazi Temple, 4 Battlefield Forge, a Snow-Covered Wastes, 4 Kozilek's Command, 4 Eldrazi Linebreaker, 3 Thought-Knot Seer and 2 Matter Reshaper sit beside Guide, Ocelot, Ajani, Bombardment, Ragavan and Phlage while Voice, Pyromancer, Thraben Charm and Ranger-Captain are all cut, and it is the only signature-holder in the store on the Temple; the pilot's other lists are Mill and Tron.",
energy,Boros Energy,,mtgo,2026-03-21,Modern League,EDHplayer,,hybrid,medium,pre,prior,keep,"exclude: hybrid brew, out for now","Pre-ban Leonardo Cauldron combo inside the energy shell: 4 Leonardo, Cutting Edge, 3 Agatha's Soul Cauldron and 2 Walking Ballista replace Phlage, Seasoned Pyromancer, Thraben Charm and Arena of Glory (98-100% pre-ban adoption), the store's 31 other Leonardo-plus-Cauldron lists are a distinct Azorius/Selesnya deck, and Yenchy's two members run Leonardo as a one-of with no Cauldron; the new pass missed it and I rule keep because the 9-card package displaces four staples, not a card-advantage slot.",
energy,Boros Energy,modern-challenge-64-2026-06-2812845678#Zorro7x4,mtgo,2026-06-28,Modern Challenge 64,Zorro7x4,,hybrid,medium,post,both,keep,"exclude: hybrid brew, out for now","Post-ban Cutter-prowess build on the energy creatures: 4 Cori-Steel Cutter, 4 Hex Magic, 4 Mishra's Bauble and 4 Lightning Bolt over 3 Sunbaked Canyon with none of Voice of Victory, Seasoned Pyromancer, Thraben Charm, Ranger-Captain or Arena of Glory (all 87-99% adopted), the only Cutter or Hex Magic list among 2797 members, and the same pilot's next energy list 20293 is stock.",
ponza,Boros Ponza,,mtgo,2026-04-23,Modern League,EDHplayer,none,hybrid,low,pre,both,drop,"exclude: hybrid brew, out for now","Unflagged pre-ban fourth copy of the same Boom/Bust, Magmatic Hellkite, Flagstones of Trokair shell with no Field of Ruin or Demolition Field (Ragavan in the sideboard).","Drop, ruled against both passes: pre-ban list holding the whole Ponza engine (4 Erode, 4 Cleansing Wildfire, 4 Price of Freedom, 4 Path to Exile, 4 White Orchid Phantom, 4 Wrath of the Skies, 4 Galvanic Discharge) with 4 Boom/Bust, 4 Flagstones of Trokair and 4 Magmatic Hellkite in place of Field of Ruin, Demolition Field and Solitude, a build choice the same pilot ran beside Field of Ruin, Demolition Field, Solitude and Wrath in his February list 579, so ordinary variation rather than another deck."
ponza,Boros Ponza,,mtgo,2026-05-01,Modern Challenge 64,EDHplayer,none,hybrid,low,pre,both,drop,"exclude: hybrid brew, out for now","Pre-ban aggro land-destruction shell on 4 Boom/Bust, 4 Magmatic Hellkite, 4 Ragavan, 4 Flagstones of Trokair and Rustvale Bridge with no Field of Ruin, Demolition Field, Wrath of the Skies or Cori Mountain Monastery in the mainboard; same plan, different shell.","Drop, ruled against both passes: pre-ban 19-land build of the same engine (3 Erode, 4 Cleansing Wildfire, 4 Price of Freedom, 4 Path to Exile, 4 White Orchid Phantom, 2 Solitude, Wrath of the Skies in the side) with 4 Boom/Bust, 4 Flagstones, 4 Magmatic Hellkite and 4 Ragavan as the top end; the land-destruction plan and its spells are Ponza's, and Ragavan sits in two clean members (16046, 23088), so this is a pilot's aggressive build, not a different deck."
ponza,Boros Ponza,,mtgo,2026-05-01,Modern League,EDHplayer,none,hybrid,low,pre,both,drop,"exclude: hybrid brew, out for now","Pre-ban duplicate build of 6783: 4 Boom/Bust, 4 Magmatic Hellkite, 4 Ragavan, 4 Flagstones of Trokair, 2 Elesh Norn, no Field of Ruin or Demolition Field.","Drop, ruled against both passes: the same 60 as 6783 played in the league the same day (4 Boom/Bust, 4 Flagstones, 4 Magmatic Hellkite, 4 Ragavan, 2 Elesh Norn over 3 Erode, 4 Cleansing Wildfire, 4 Price of Freedom, 4 Path, 4 Phantom, 2 Solitude), pre-ban, the same deck on a different top end."
ponza,Boros Ponza,,mtgo,2026-05-04,Modern League,EDHplayer,none,hybrid,low,pre,both,drop,"exclude: hybrid brew, out for now","Pre-ban Boom/Bust, Magmatic Hellkite, Ragavan and Thalia, Heretic Cathar shell with no Field of Ruin or Demolition Field, the same pilot's aggro build.","Drop, ruled against both passes: pre-ban, identical to 15400 except 2 Thalia, Heretic Cathar for the 2 Elesh Norn, so the same Erode, Cleansing Wildfire, Price of Freedom, Path, Phantom, Solitude engine with the Boom/Bust, Flagstones, Hellkite, Ragavan package on 19 lands; a build of Ponza, not another archetype."
dimir,Dimir Midrange,,mtgo,2026-02-27,Modern Challenge 32,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 March of Wretched Sorrow, and none of Counterspell, Force of Negation, Subtlety or Sink into Stupor; Riddler at 3.",
dimir,Dimir Midrange,,mtgo,2026-03-01,Modern Challenge 32,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, the same 75 as 1211: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-03-02,Modern Challenge 32,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, the same 75 as 1211: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-03-03,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, the same 75 as 1211: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-03-07,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, the same 75 as 1211: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-03-14,Modern League,Athenani,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, Craig_Long123's 75 card for card: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 March of Wretched Sorrow.",
dimir,Dimir Midrange,,mtgo,2026-03-16,Modern League,JackFochetti,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, Craig_Long123's 75 card for card: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 March of Wretched Sorrow.",
dimir,Dimir Midrange,,mtgo,2026-03-21,Modern Challenge 32,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Force of Despair, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-03-23,Modern Last Chance,TomCairns,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Emperor of Bones, 4 Gran-Gran, 3 Abhorrent Oculus, 3 Unearth, 2 Cephalid Coliseum, with Riddler at 2 and every counterspell in the sideboard.",
dimir,Dimir Midrange,,mtgo,2026-03-24,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Force of Despair, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-03-31,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Force of Despair, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-04-03,Modern League,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Force of Despair, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-04-11,Modern Challenge 32,Xsper,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro on 15 lands: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Fell the Profane, 3 Sheoldred, the Apocalypse, 2 Dauthi Voidwalker, Riddler down to 2.",
dimir,Dimir Midrange,,mtgo,2026-04-28,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Force of Despair, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-04-29,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro, the same 75 as 6713: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, no counterspells.",
dimir,Dimir Midrange,,mtgo,2026-04-30,Modern League,TomCairns,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Gran-Gran, 3 Abhorrent Oculus, 3 Unearth, 3 Emperor of Bones, 2 Emeritus of Ideation, 2 Cephalid Coliseum, Riddler at 2 and Force of Negation in the side only.",
dimir,Dimir Midrange,,mtgo,2026-05-03,Modern League,daviddmtg,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Fallaji Archaeologist, 2 Emperor of Bones, 2 Tainted Indulgence, a 16-card reanimation plan that keeps Tamiyo, Spell Snare and Force of Negation at 2 each around it.",
dimir,Dimir Midrange,,mtgo,2026-05-05,Modern Challenge 64,Craig_Long123,,different-deck,high,pre,both,keep,exclude: another Dimir deck,"Pre-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Force of Despair, no counterspells.",
dimir,Dimir Midrange,modern-challenge-64-2026-05-2012842542#Craig_Long123,mtgo,2026-05-20,Modern Challenge 64,Craig_Long123,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Post-ban Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, 3 Fell the Profane, 2 Inquisition of Kozilek, Riddler down to 2, no counterspells.",
dimir,Dimir Midrange,modern-challenge-64-2026-05-2112842886#Craig_Long123,mtgo,2026-05-21,Modern Challenge 64,Craig_Long123,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Post-ban Dimir Necro, the same 75 as 7258: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, Riddler down to 2.",
dimir,Dimir Midrange,modern-challenge-64-2026-05-2312842918#Craig_Long123,mtgo,2026-05-23,Modern Challenge 64,Craig_Long123,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Post-ban Dimir Necro, the same 75 as 7258: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Sheoldred, the Apocalypse, Riddler down to 2.",
dimir,Dimir Midrange,modern-league-2026-06-0710628#doom580,mtgo,2026-06-07,Modern League,doom580,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Oculus with Riddler at 3: 4 Abhorrent Oculus, 4 Unearth, 4 Thought Scour, 2 Murktide Regent, with Bowmasters, Kaito and Tamiyo absent and Subtlety in the side only.",
dimir,Dimir Midrange,modern-league-2026-06-2910847#marcoshadow,mtgo,2026-06-29,Modern League,marcoshadow,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Necro: 4 Necrodominance, 4 Soul Spike, 4 Boggart Trawler, 4 Inquisition of Kozilek, 3 Sheoldred, the Apocalypse, 3 March of Wretched Sorrow, no counterspells and no Bowmasters.",
dimir,Dimir Midrange,modern-challenge-64-2026-07-0512846495#Zorro7x4,mtgo,2026-07-05,Modern Challenge 64,Zorro7x4,,different-deck,medium,post,both,keep,"keep: one aggro list, no card names it","Dimir Goyf aggro on the Frog pair: 4 Moonshadow, 4 Street Wraith, 4 Nethergoyf, 4 Mishra's Bauble, 3 End of the Hunt and none of Counterspell, Force of Negation, Subtlety, Sink into Stupor or Spell Snare; both passes said hybrid, I rule different-deck because the same pilot's unclassified 17811 and CHAR_AZNABLE's 22572 show this shell is a deck of its own that normally runs no Riddler.",
dimir,Dimir Midrange,modern-challenge-64-2026-07-3112849451#Uagli1,mtgo,2026-07-31,Modern Challenge 64,Uagli1,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Oculus with Riddler at 2: 4 Abhorrent Oculus, 4 Unearth, 4 Consider, 2 Harbinger of the Seas main, no Kaito, Tamiyo or Subtlety.",
dimir,Dimir Midrange,modern-league-2026-07-3110847#Uagli1,mtgo,2026-07-31,Modern League,Uagli1,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Oculus with Riddler at 2: 4 Abhorrent Oculus, 4 Unearth, 4 Thought Scour, 2 Harbinger of the Seas main, no Kaito, Tamiyo or Subtlety.",
dimir,Dimir Midrange,modern-challenge-64-2026-08-0112849460#OafMcNamara,mtgo,2026-08-01,Modern Challenge 64,OafMcNamara,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Oculus that runs 4 Riddler: 4 Abhorrent Oculus, 4 Unearth, 4 Thought Scour, and no Bowmasters, Kaito or Tamiyo.",
dimir,Dimir Midrange,modern-challenge-64-2026-08-0212849474#Arcbound_Papi,mtgo,2026-08-02,Modern Challenge 64,Arcbound_Papi,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Goryo's reanimator that misses the Goryo's rule for lack of Ephemerate and Plains: 4 Goryo's Vengeance, 4 Atraxa, Grand Unifier, 2 Griselbrand, 3 Tainted Indulgence, 2 Bone Shards.",
dimir,Dimir Midrange,modern-challenge-64-2026-08-0212849474#adebevoise,mtgo,2026-08-02,Modern Challenge 64,adebevoise,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Oculus that runs 4 Riddler, OafMcNamara's 9374 card for card: 4 Abhorrent Oculus, 4 Unearth, 4 Thought Scour, no Bowmasters, Kaito or Tamiyo.",
dimir,Dimir Midrange,modern-league-2026-08-0310847#TomCairns,mtgo,2026-08-03,Modern League,TomCairns,,different-deck,high,post,both,keep,exclude: another Dimir deck,"Dimir Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Fallaji Archaeologist, 4 Gran-Gran, 3 Emperor of Bones, 3 Essence Flux, 3 Flare of Denial, 2 Cephalid Coliseum, Thoughtseize down to 2.",
